4.375	0.000	0.145	1.839	0.750
4.407	-0.001	0.080	1.833	0.750
4.439	-0.000	0.239	1.774	0.750
4.473	-0.000	-0.164	1.810	0.751
4.505	0.001	-0.155	1.959	0.750
4.538	0.002	0.124	1.833	0.750
4.570	0.000	-0.133	1.982	0.750
4.602	0.014	0.084	1.685	0.750
4.633	0.002	-0.167	1.821	0.750
4.664	-0.000	0.728	1.841	0.750
4.699	0.002	0.004	1.790	0.750
4.731	-0.001	0.249	1.727	0.750
4.763	-0.000	-0.103	1.848	0.750
4.795	-0.000	0.007	1.833	0.750
4.826	-0.000	-0.100	1.771	0.750
4.858	-0.000	-0.126	1.723	0.751
4.890	0.001	0.133	1.687	0.750
4.922	0.001	-0.163	1.879	0.750
4.954	0.001	0.014	1.727	0.751
4.986	-0.000	-0.161	1.678	0.750
5.016	0.001	-0.139	1.763	0.750
5.048	-0.000	-0.182	1.728	0.750
5.079	0.002	-0.193	1.755	0.750
5.112	0.002	0.495	1.725	0.751
5.144	0.008	-0.073	1.766	0.750
5.175	-0.000	-0.093	1.851	0.751
5.207	0.001	-0.162	1.696	0.750
5.239	-0.000	-0.188	1.706	0.751
5.270	0.000	0.149	1.686	0.750
5.302	0.012	-0.149	1.690	0.750
5.333	0.001	-0.130	1.697	0.750
5.365	0.000	0.186	1.566	0.750
5.397	0.000	0.224	1.597	0.751
5.428	0.001	-0.157	1.584	0.750
5.460	-0.000	-0.164	1.693	0.750
5.493	-0.001	-0.170	1.781	0.750
5.526	-0.001	0.010	1.688	0.751
5.555	0.001	0.410	1.686	0.750
5.586	-0.000	-0.178	1.735	0.751
5.618	0.001	-0.150	1.672	0.750
5.649	0.000	-0.168	1.663	0.751
5.681	0.011	-0.063	1.597	0.751
5.712	0.001	-0.139	1.757	0.750
5.743	0.000	-0.164	1.612	0.750
5.774	0.001	-0.162	1.657	0.750
5.807	0.001	-0.192	1.635	0.750
5.838	0.002	-0.120	1.659	0.750
5.871	0.001	-0.166	1.681	0.750
5.904	-0.000	-0.154	1.634	0.750
5.935	-0.000	-0.162	1.582	0.750
5.966	0.000	-0.185	1.650	0.750
5.998	0.002	-0.170	1.574	0.750
6.029	-0.000	0.159	1.602	0.751
6.062	0.001	-0.148	1.525	0.751
6.095	0.001	-0.173	1.564	0.751
6.138	0.004	-0.049	1.618	0.750
6.170	-0.000	0.105	1.464	0.750
6.204	0.005	-0.145	1.564	0.750
6.235	-0.000	-0.143	1.503	0.750
6.266	0.001	-0.165	1.552	0.750
6.299	0.004	-0.100	1.604	0.750
6.330	0.001	0.216	1.532	0.750
6.363	0.001	-0.188	1.448	0.750
6.396	0.002	-0.171	1.494	0.750
6.428	0.003	-0.131	1.591	0.750
6.460	0.001	0.027	1.504	0.750
6.494	0.001	0.185	1.470	0.750
6.526	-0.000	-0.102	1.480	0.750
6.558	0.001	0.245	1.505	0.750
6.590	0.001	-0.161	1.425	0.750
6.624	0.000	-0.160	1.477	0.750
6.656	-0.000	0.146	1.413	0.750
6.687	0.000	-0.179	1.482	0.751
6.718	0.023	-0.150	1.492	0.750
6.750	-0.000	-0.020	1.450	0.750
6.782	0.001	0.057	1.307	0.750
6.814	0.000	-0.151	1.334	0.750
